,date,close,high,low,open,symbol,volume,id,key,subkey,updated,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,label,change,changePercent
240,2020-03-23 00:00:00,114.65,120.255,109.721,115.65,IEX,944969,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:44,-0.42084259446352795,-0.42084259446352795,115.65,114.65,120.255,109.721,944969,114.3185,113.3301,118.8705,108.4578,944969,"Mar 23, 20",-5.339999999999989,-0.0445
239,2020-03-24 00:00:00,119.99,121.435,116.26,120.33,IEX,1354041,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:45,-0.3938674479692868,-0.3938674479692868,120.33,119.99,121.435,116.26,1354041,118.9447,118.6086,120.0369,114.9215,1354041,"Mar 24, 20",0.6299999999999955,0.0053
238,2020-03-25 00:00:00,119.36,125.065,118.54,119.84,IEX,1326673,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:57,-0.39704990907253995,-0.39704990907253995,119.84,119.36,125.065,118.54,1326673,118.4603,117.9858,123.6252,117.1753,1326673,"Mar 25, 20",-6.450000000000003,-0.0513
237,2020-03-26 00:00:00,125.81,127.475,117.02,120.48,IEX,1468034,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:53,-0.3644675692059002,-0.3644675692059002,120.48,125.81,127.475,117.02,1468034,119.0929,124.3616,126.0074,115.6728,1468034,"Mar 26, 20",-5.3700000000000045,-0.0409
236,2020-03-27 00:00:00,131.18,134.19,121.62,122.66,IEX,860208,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:56,-0.33734087694483733,-0.33734087694483733,122.66,131.18,134.19,121.62,860208,121.2478,129.6698,132.6451,120.2198,860208,"Mar 27, 20",-5.699999999999989,-0.0416
235,2020-03-30 00:00:00,136.88,137.595,127.48,132.45,IEX,940936,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:36,-0.30854718124873715,-0.30854718124873715,132.45,136.88,137.595,127.48,940936,130.9251,135.3041,136.0109,126.0124,940936,"Mar 30, 20",-1.2300000000000182,-0.0089
234,2020-03-31 00:00:00,138.11,140.7,135.2,138.71,IEX,1064308,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:36,-0.3023338048090523,-0.3023338048090523,138.71,138.11,140.7,135.2,1064308,137.1131,136.52,139.0802,133.6435,1064308,"Mar 31, 20",4.910000000000025,0.0369
233,2020-04-01 00:00:00,133.2,135.33,130.74,132.75,IEX,1031174,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:45,-0.32713679531218437,-0.32713679531218437,132.75,133.2,135.33,130.74,1031174,131.2217,131.6665,133.772,129.2348,1031174,"Apr 1, 20",-3.180000000000007,-0.0233
232,2020-04-02 00:00:00,136.38,138.34,132.68,132.68,IEX,971329,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:46,-0.31107294402909685,-0.31107294402909685,132.68,136.38,138.34,132.68,971329,131.1525,134.8099,136.7473,131.1525,971329,"Apr 2, 20",-2.1299999999999955,-0.0154
231,2020-04-03 00:00:00,138.51,139.4,135.02,135.02,IEX,852320,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:44,-0.3003131945847647,-0.3003131945847647,135.02,138.51,139.4,135.02,852320,133.4655,136.9154,137.7951,133.4655,852320,"Apr 3, 20",-5.450000000000017,-0.0379
